week_ending_date,state,data_as_of,COVID_deaths_weekly,COVID_deaths_total,crude_COVID_rate_weekly,aa_COVID_rate_weekly,crude_COVID_rate_total,aa_COVID_rate_total,COVID_pct_of_total_weekly
2020/1/4,AL ,2024/12/5,0,0,0,0,0,0,0
2020/1/11,AL ,2024/12/5,0,0,0,0,0,0,0
2020/1/18,AL ,2024/12/5,0,0,0,0,0,0,0
2020/1/25,AL ,2024/12/5,,,,,,,
2020/2/1,AL ,2024/12/5,0,,0,0,,,0
2020/2/8,AL ,2024/12/5,0,,0,0,,,0
2020/2/15,AL ,2024/12/5,0,,0,0,,,0
2020/2/22,AL ,2024/12/5,0,,0,0,,,0
2020/2/29,AL ,2024/12/5,,,,,,,
2020/3/7,AL ,2024/12/5,0,,0,0,,,0
2020/3/14,AL ,2024/12/5,0,,0,0,,,0
2020/3/21,AL ,2024/12/5,,,,,,,
2020/3/28,AL ,2024/12/5,24,29,0.5,0.4,0.6,0.5,2.2
2020/4/4,AL ,2024/12/5,45,74,0.9,0.7,1.5,1.2,3.8
2020/4/11,AL ,2024/12/5,74,148,1.5,1.2,2.9,2.3,6.4
2020/4/18,AL ,2024/12/5,91,239,1.8,1.5,4.7,3.8,7.8
2020/4/25,AL ,2024/12/5,86,325,1.7,1.4,6.4,5.2,7.4
2020/5/2,AL ,2024/12/5,82,407,1.6,1.3,8.1,6.5,7.1
2020/5/9,AL ,2024/12/5,117,524,2.3,1.9,10.4,8.4,9.8
2020/5/16,AL ,2024/12/5,101,625,2,1.6,12.4,10,8.6
2020/5/23,AL ,2024/12/5,87,712,1.7,1.4,14.1,11.4,7.5
2020/5/30,AL ,2024/12/5,111,823,2.2,1.8,16.3,13.3,9.8
2020/6/6,AL ,2024/12/5,91,914,1.8,1.4,18.1,14.7,7.6
2020/6/13,AL ,2024/12/5,85,999,1.7,1.4,19.8,16.1,7.4
2020/6/20,AL ,2024/12/5,96,1095,1.9,1.6,21.7,17.7,8.7
2020/6/27,AL ,2024/12/5,110,1205,2.2,1.7,23.9,19.5,9.3
2020/7/4,AL ,2024/12/5,135,1340,2.7,2.1,26.6,21.6,10.9
2020/7/11,AL ,2024/12/5,148,1488,2.9,2.4,29.5,24,11.4
2020/7/18,AL ,2024/12/5,199,1687,3.9,3.2,33.5,27.2,15.2
2020/7/25,AL ,2024/12/5,263,1950,5.2,4.2,38.7,31.4,19.1
2020/8/1,AL ,2024/12/5,282,2232,5.6,4.6,44.3,36,20
2020/8/8,AL ,2024/12/5,276,2508,5.5,4.4,49.8,40.4,19.7
2020/8/15,AL ,2024/12/5,241,2749,4.8,3.9,54.5,44.3,18
2020/8/22,AL ,2024/12/5,213,2962,4.2,3.4,58.8,47.7,16.1
2020/8/29,AL ,2024/12/5,193,3155,3.8,3.1,62.6,50.9,15.5
2020/9/5,AL ,2024/12/5,161,3316,3.2,2.7,65.8,53.5,12.9
2020/9/12,AL ,2024/12/5,147,3463,2.9,2.4,68.7,55.9,11.8
2020/9/19,AL ,2024/12/5,143,3606,2.8,2.3,71.5,58.2,11.6
2020/9/26,AL ,2024/12/5,111,3717,2.2,1.8,73.8,59.9,9.1
2020/10/3,AL ,2024/12/5,119,3836,2.4,1.9,76.1,61.8,10.6
2020/10/10,AL ,2024/12/5,143,3979,2.8,2.3,79,64.1,11.6
2020/10/17,AL ,2024/12/5,132,4111,2.6,2.1,81.6,66.2,10.9
2020/10/24,AL ,2024/12/5,133,4244,2.6,2.1,84.2,68.3,11.4
2020/10/31,AL ,2024/12/5,136,4380,2.7,2.1,86.9,70.4,11.4
2020/11/7,AL ,2024/12/5,152,4532,3,2.4,89.9,72.8,11.6
2020/11/14,AL ,2024/12/5,191,4723,3.8,3,93.7,75.8,14.6
2020/11/21,AL ,2024/12/5,182,4905,3.6,2.9,97.3,78.8,14
2020/11/28,AL ,2024/12/5,209,5114,4.1,3.3,101.5,82.1,15.4
2020/12/5,AL ,2024/12/5,271,5385,5.4,4.3,106.8,86.4,19.7
2020/12/12,AL ,2024/12/5,387,5772,7.7,6.2,114.5,92.5,23.7
2020/12/19,AL ,2024/12/5,406,6178,8.1,6.5,122.6,99.1,24.8
2020/12/26,AL ,2024/12/5,470,6648,9.3,7.6,131.9,106.7,28.2
2021/1/2,AL ,2024/12/5,524,7172,10.4,8.3,142.3,115,28.3
2021/1/9,AL ,2024/12/5,573,7745,11.4,9.3,153.7,124.3,30.6
2021/1/16,AL ,2024/12/5,617,8362,12.2,9.7,165.9,134,32.5
2021/1/23,AL ,2024/12/5,592,8954,11.7,9.4,177.7,143.3,32.6
2021/1/30,AL ,2024/12/5,525,9479,10.4,8.4,188.1,151.7,30.9
2021/2/6,AL ,2024/12/5,369,9848,7.3,5.8,195.4,157.5,24
2021/2/13,AL ,2024/12/5,278,10126,5.5,4.4,200.9,161.9,18.9
2021/2/20,AL ,2024/12/5,227,10353,4.5,3.5,205.4,165.4,16.6
2021/2/27,AL ,2024/12/5,181,10534,3.6,2.8,209,168.2,13.6
2021/3/6,AL ,2024/12/5,117,10651,2.3,1.9,211.3,170.1,9.7
2021/3/13,AL ,2024/12/5,112,10763,2.2,1.7,213.6,171.8,9.3
2021/3/20,AL ,2024/12/5,92,10855,1.8,1.5,215.4,173.3,8.3
2021/3/27,AL ,2024/12/5,79,10934,1.6,1.2,216.9,174.5,6.5
2021/4/3,AL ,2024/12/5,69,11003,1.4,1.1,218.3,175.6,6.1
2021/4/10,AL ,2024/12/5,61,11064,1.2,1,219.5,176.6,5
2021/4/17,AL ,2024/12/5,45,11109,0.9,0.7,220.4,177.3,3.8
2021/4/24,AL ,2024/12/5,46,11155,0.9,0.8,221.3,178.1,4.1
2021/5/1,AL ,2024/12/5,48,11203,1,0.8,222.3,178.8,4
2021/5/8,AL ,2024/12/5,64,11267,1.3,1,223.6,179.8,5.5
2021/5/15,AL ,2024/12/5,53,11320,1.1,0.8,224.6,180.7,4.6
2021/5/22,AL ,2024/12/5,51,11371,1,0.8,225.6,181.5,4.6
2021/5/29,AL ,2024/12/5,34,11405,0.7,0.6,226.3,182,3.1
2021/6/5,AL ,2024/12/5,35,11440,0.7,0.6,227,182.6,3.2
2021/6/12,AL ,2024/12/5,35,11475,0.7,0.6,227.7,183.1,3.1
2021/6/19,AL ,2024/12/5,28,11503,0.6,0.4,228.2,183.6,2.4
2021/6/26,AL ,2024/12/5,35,11538,0.7,0.6,228.9,184.2,3.2
2021/7/3,AL ,2024/12/5,25,11563,0.5,0.4,229.4,184.6,2.3
2021/7/10,AL ,2024/12/5,37,11600,0.7,0.6,230.2,185.2,3.2
2021/7/17,AL ,2024/12/5,43,11643,0.9,0.7,231,185.9,4
2021/7/24,AL ,2024/12/5,68,11711,1.3,1.2,232.4,187,6
2021/7/31,AL ,2024/12/5,116,11827,2.3,1.9,234.7,188.9,9.7
2021/8/7,AL ,2024/12/5,226,12053,4.5,3.7,239.2,192.6,16.5
2021/8/14,AL ,2024/12/5,351,12404,7,5.8,246.1,198.4,23.8
2021/8/21,AL ,2024/12/5,436,12840,8.7,7.3,254.8,205.6,26.9
2021/8/28,AL ,2024/12/5,503,13343,10,8.3,264.7,213.9,29.8
2021/9/4,AL ,2024/12/5,528,13871,10.5,8.7,275.2,222.6,32.1
2021/9/11,AL ,2024/12/5,564,14435,11.2,9.2,286.4,231.8,31.8
2021/9/18,AL ,2024/12/5,486,14921,9.6,7.9,296.1,239.7,29.9
2021/9/25,AL ,2024/12/5,424,15345,8.4,7,304.5,246.7,28.4
2021/10/2,AL ,2024/12/5,369,15714,7.3,5.9,311.8,252.6,24.2
2021/10/9,AL ,2024/12/5,276,15990,5.5,4.4,317.3,257,19.5
2021/10/16,AL ,2024/12/5,225,16215,4.5,3.7,321.7,260.8,17.3
2021/10/23,AL ,2024/12/5,159,16374,3.2,2.6,324.9,263.4,12.9
2021/10/30,AL ,2024/12/5,112,16486,2.2,1.9,327.1,265.2,9.6
2021/11/6,AL ,2024/12/5,90,16576,1.8,1.4,328.9,266.7,7.4
2021/11/13,AL ,2024/12/5,88,16664,1.7,1.4,330.6,268.1,7.3
2021/11/20,AL ,2024/12/5,51,16715,1,0.8,331.7,268.9,4.5
2021/11/27,AL ,2024/12/5,65,16780,1.3,1.1,332.9,270,5.5
2021/12/4,AL ,2024/12/5,71,16851,1.4,1.1,334.4,271.1,5.5
2021/12/11,AL ,2024/12/5,58,16909,1.2,0.9,335.5,272,4.5
2021/12/18,AL ,2024/12/5,73,16982,1.4,1.1,337,273.2,6.3
2021/12/25,AL ,2024/12/5,79,17061,1.6,1.3,338.5,274.5,6.7
2022/1/1,AL ,2024/12/5,89,17150,1.8,1.5,340.3,275.9,7
2022/1/8,AL ,2024/12/5,160,17310,3.2,2.6,343.5,278.5,12
2022/1/15,AL ,2024/12/5,249,17559,4.9,4,348.4,282.5,16
2022/1/22,AL ,2024/12/5,303,17862,6,5,354.4,287.4,19.7
2022/1/29,AL ,2024/12/5,439,18301,8.7,6.9,363.1,294.4,25.6
2022/2/5,AL ,2024/12/5,414,18715,8.2,6.6,371.3,300.9,24.3
2022/2/12,AL ,2024/12/5,404,19119,8,6.2,379.4,307.2,24.5
2022/2/19,AL ,2024/12/5,320,19439,6.3,5,385.7,312.2,21.1
2022/2/26,AL ,2024/12/5,240,19679,4.8,3.7,390.5,315.9,17.8
2022/3/5,AL ,2024/12/5,165,19844,3.3,2.5,393.7,318.4,13.6
2022/3/12,AL ,2024/12/5,109,19953,2.2,1.7,395.9,320.1,9
2022/3/19,AL ,2024/12/5,73,20026,1.4,1.2,397.4,321.3,6.3
2022/3/26,AL ,2024/12/5,59,20085,1.2,0.9,398.5,322.2,5.4
2022/4/2,AL ,2024/12/5,42,20127,0.8,0.7,399.4,322.9,3.9
2022/4/9,AL ,2024/12/5,34,20161,0.7,0.5,400,323.4,3.1
2022/4/16,AL ,2024/12/5,18,20179,,,400.4,323.7,1.6
2022/4/23,AL ,2024/12/5,19,20198,,,400.8,324,1.8
2022/4/30,AL ,2024/12/5,18,20216,,,401.1,324.3,1.7
2022/5/7,AL ,2024/12/5,22,20238,0.4,0.4,401.6,324.6,2.2
2022/5/14,AL ,2024/12/5,12,20250,,,401.8,324.8,1.2
2022/5/21,AL ,2024/12/5,17,20267,,,402.1,325.1,1.6
2022/5/28,AL ,2024/12/5,10,20277,,,402.3,325.3,0.9
2022/6/4,AL ,2024/12/5,18,20295,,,402.7,325.6,1.7
2022/6/11,AL ,2024/12/5,29,20324,0.6,0.5,403.3,326,2.6
2022/6/18,AL ,2024/12/5,25,20349,0.5,0.4,403.8,326.4,2.2
2022/6/25,AL ,2024/12/5,22,20371,0.4,0.4,404.2,326.8,2
2022/7/2,AL ,2024/12/5,41,20412,0.8,0.7,405,327.5,3.6
2022/7/9,AL ,2024/12/5,47,20459,0.9,0.7,405.9,328.3,4.4
2022/7/16,AL ,2024/12/5,70,20529,1.4,1.2,407.3,329.4,6.2
2022/7/23,AL ,2024/12/5,62,20591,1.2,1,408.6,330.5,5.4
2022/7/30,AL ,2024/12/5,68,20659,1.3,1.1,409.9,331.5,6.1
2022/8/6,AL ,2024/12/5,72,20731,1.4,1.2,411.3,332.7,6.4
2022/8/13,AL ,2024/12/5,77,20808,1.5,1.3,412.9,334,6.9
2022/8/20,AL ,2024/12/5,62,20870,1.2,1,414.1,335,5.5
2022/8/27,AL ,2024/12/5,50,20920,1,0.8,415.1,335.8,4.5
2022/9/3,AL ,2024/12/5,50,20970,1,0.8,416.1,336.6,4.6
2022/9/10,AL ,2024/12/5,54,21024,1.1,0.9,417.2,337.5,5
2022/9/17,AL ,2024/12/5,47,21071,0.9,0.8,418.1,338.2,4.1
2022/9/24,AL ,2024/12/5,48,21119,1,0.8,419,339,4.2
2022/10/1,AL ,2024/12/5,32,21151,0.6,0.5,419.7,339.5,2.8
2022/10/8,AL ,2024/12/5,24,21175,0.5,0.4,420.1,339.9,2.1
2022/10/15,AL ,2024/12/5,20,21195,0.4,0.3,420.5,340.3,1.7
2022/10/22,AL ,2024/12/5,20,21215,0.4,0.3,420.9,340.6,1.7
2022/10/29,AL ,2024/12/5,33,21248,0.7,0.5,421.6,341.1,2.9
2022/11/5,AL ,2024/12/5,22,21270,0.4,0.3,422,341.4,1.9
2022/11/12,AL ,2024/12/5,18,21288,,,422.4,341.7,1.6
2022/11/19,AL ,2024/12/5,26,21314,0.5,0.4,422.9,342.1,2.2
2022/11/26,AL ,2024/12/5,27,21341,0.5,0.5,423.4,342.6,2.3
2022/12/3,AL ,2024/12/5,29,21370,0.6,0.5,424,343,2.3
2022/12/10,AL ,2024/12/5,39,21409,0.8,0.6,424.8,343.7,3.2
2022/12/17,AL ,2024/12/5,45,21454,0.9,0.7,425.7,344.4,4
2022/12/24,AL ,2024/12/5,35,21489,0.7,0.6,426.4,344.9,2.8
2022/12/31,AL ,2024/12/5,43,21532,0.9,0.7,427.2,345.6,3.3
2023/1/7,AL ,2024/12/5,61,21593,1.2,1,428.4,346.6,4.8
2023/1/14,AL ,2024/12/5,67,21660,1.3,1.1,429.8,347.7,5.3
2023/1/21,AL ,2024/12/5,61,21721,1.2,1,431,348.7,4.7
2023/1/28,AL ,2024/12/5,57,21778,1.1,0.9,432.1,349.6,4.9
2023/2/4,AL ,2024/12/5,56,21834,1.1,0.9,433.2,350.5,4.7
2023/2/11,AL ,2024/12/5,32,21866,0.6,0.5,433.9,351.1,2.5
2023/2/18,AL ,2024/12/5,43,21909,0.9,0.7,434.7,351.7,3.6
2023/2/25,AL ,2024/12/5,51,21960,1,0.8,435.7,352.6,4.1
2023/3/4,AL ,2024/12/5,21,21981,0.4,0.3,436.1,352.9,1.9
2023/3/11,AL ,2024/12/5,30,22011,0.6,0.5,436.7,353.4,2.6
2023/3/18,AL ,2024/12/5,22,22033,0.4,0.4,437.2,353.8,2
2023/3/25,AL ,2024/12/5,27,22060,0.5,0.5,437.7,354.2,2.3
2023/4/1,AL ,2024/12/5,24,22084,0.5,0.4,438.2,354.6,2
2023/4/8,AL ,2024/12/5,25,22109,0.5,0.4,438.7,355,2.2
2023/4/15,AL ,2024/12/5,13,22122,,,438.9,355.3,1.2
2023/4/22,AL ,2024/12/5,13,22135,,,439.2,355.5,1.2
2023/4/29,AL ,2024/12/5,16,22151,,,439.5,355.7,1.5
2023/5/6,AL ,2024/12/5,15,22166,,,439.8,355.9,1.3
2023/5/13,AL ,2024/12/5,16,22182,,,440.1,356.2,1.4
2023/5/20,AL ,2024/12/5,11,22193,,,440.3,356.4,1
2023/5/27,AL ,2024/12/5,12,22205,,,440.6,356.6,1.1
2023/6/3,AL ,2024/12/5,,22213,,,440.7,356.7,
2023/6/10,AL ,2024/12/5,,22222,,,440.9,356.9,
2023/6/17,AL ,2024/12/5,,22229,,,441.1,357,
2023/6/24,AL ,2024/12/5,,22238,,,441.2,357.1,
2023/7/1,AL ,2024/12/5,15,22253,,,441.5,357.3,1.4
2023/7/8,AL ,2024/12/5,,22262,,,441.7,357.5,
2023/7/15,AL ,2024/12/5,10,22272,,,441.9,357.7,0.9
2023/7/22,AL ,2024/12/5,,22278,,,442,357.8,
2023/7/29,AL ,2024/12/5,13,22291,,,442.3,358,1.2
2023/8/5,AL ,2024/12/5,18,22309,,,442.6,358.3,1.6
2023/8/12,AL ,2024/12/5,25,22334,0.5,0.4,443.1,358.7,2.3
2023/8/19,AL ,2024/12/5,25,22359,0.5,0.4,443.6,359.1,2.2
2023/8/26,AL ,2024/12/5,15,22374,,,443.9,359.3,1.3
2023/9/2,AL ,2024/12/5,29,22403,0.6,0.5,444.5,359.8,2.8
2023/9/9,AL ,2024/12/5,27,22430,0.5,0.4,445.1,360.3,2.5
2023/9/16,AL ,2024/12/5,28,22458,0.6,0.5,445.6,360.7,2.5
2023/9/23,AL ,2024/12/5,22,22480,0.4,0.4,446,361.1,2.1
2023/9/30,AL ,2024/12/5,26,22506,0.5,0.4,446.6,361.5,2.4
2023/10/7,AL ,2024/12/5,21,22527,0.4,0.3,447,361.8,2
2023/10/14,AL ,2024/12/5,20,22547,0.4,0.3,447.4,362.1,1.8
2023/10/21,AL ,2024/12/5,14,22561,,,447.6,362.4,1.3
2023/10/28,AL ,2024/12/5,,22569,,,447.8,362.5,
2023/11/4,AL ,2024/12/5,20,22589,0.4,0.3,448.2,362.8,1.8
2023/11/11,AL ,2024/12/5,19,22608,,,448.6,363.1,1.7
2023/11/18,AL ,2024/12/5,18,22626,,,448.9,363.4,1.6
2023/11/25,AL ,2024/12/5,14,22640,,,449.2,363.7,1.3
2023/12/2,AL ,2024/12/5,26,22666,0.5,0.4,449.7,364.1,2.3
2023/12/9,AL ,2024/12/5,22,22688,0.4,0.4,450.2,364.4,1.8
2023/12/16,AL ,2024/12/5,29,22717,0.6,0.4,450.7,364.9,2.4
2023/12/23,AL ,2024/12/5,34,22751,0.7,0.6,451.4,365.4,2.6
2023/12/30,AL ,2024/12/5,36,22787,0.7,0.6,452.1,366,2.8
2024/1/6,AL ,2024/12/5,31,22818,0.6,0.5,452.7,366.5,2.4
2024/1/13,AL ,2024/12/5,49,22867,1,0.8,453.7,367.3,3.7
2024/1/20,AL ,2024/12/5,43,22910,0.9,0.7,454.6,368,3.3
2024/1/27,AL ,2024/12/5,35,22945,0.7,0.6,455.3,368.6,2.6
2024/2/3,AL ,2024/12/5,40,22985,0.8,0.6,456.1,369.2,3.3
2024/2/10,AL ,2024/12/5,27,23012,0.5,0.4,456.6,369.6,2.2
2024/2/17,AL ,2024/12/5,20,23032,0.4,0.3,457,370,1.7
2024/2/24,AL ,2024/12/5,26,23058,0.5,0.5,457.5,370.4,2.3
2024/3/2,AL ,2024/12/5,29,23087,0.6,0.5,458.1,370.9,2.6
2024/3/9,AL ,2024/12/5,24,23111,0.5,0.4,458.6,371.3,2.1
2024/3/16,AL ,2024/12/5,20,23131,0.4,0.3,459,371.6,1.8
2024/3/23,AL ,2024/12/5,15,23146,,,459.3,371.9,1.4
2024/3/30,AL ,2024/12/5,18,23164,,,459.6,372.2,1.7
2024/4/6,AL ,2024/12/5,12,23176,,,459.9,372.4,1
2024/4/13,AL ,2024/12/5,11,23187,,,460.1,372.6,1
2024/4/20,AL ,2024/12/5,,23196,,,460.2,372.7,
2024/4/27,AL ,2024/12/5,,23202,,,460.4,372.8,
2024/5/4,AL ,2024/12/5,,23211,,,460.5,373,
2024/5/11,AL ,2024/12/5,,23217,,,460.7,373,
2024/5/18,AL ,2024/12/5,,23221,,,460.7,373.1,
2024/5/25,AL ,2024/12/5,,23222,,,460.8,373.1,
2024/6/1,AL ,2024/12/5,,23227,,,460.9,373.2,
2024/6/8,AL ,2024/12/5,,23233,,,461,373.3,
2024/6/15,AL ,2024/12/5,,23237,,,461.1,373.4,
2024/6/22,AL ,2024/12/5,,23245,,,461.2,373.5,
2024/6/29,AL ,2024/12/5,,23250,,,461.3,373.6,
2024/7/6,AL ,2024/12/5,,23259,,,461.5,373.7,
2024/7/13,AL ,2024/12/5,,23266,,,461.6,373.8,
2024/7/20,AL ,2024/12/5,15,23281,,,461.9,374.1,1.5
2024/7/27,AL ,2024/12/5,15,23296,,,462.2,374.3,1.3
2024/8/3,AL ,2024/12/5,15,23311,,,462.5,374.6,1.4
2024/8/10,AL ,2024/12/5,20,23331,0.4,0.3,462.9,374.9,1.8
2024/8/17,AL ,2024/12/5,16,23347,,,463.2,375.1,1.5
2024/8/24,AL ,2024/12/5,24,23371,0.5,0.4,463.7,375.5,2.2
2024/8/31,AL ,2024/12/5,27,23398,0.5,0.4,464.3,376,2.5
2024/9/7,AL ,2024/12/5,25,23423,0.5,0.4,464.8,376.4,2.3
2024/9/14,AL ,2024/12/5,24,23447,0.5,0.4,465.2,376.8,2.2
2024/9/21,AL ,2024/12/5,18,23465,,,465.6,377.1,1.7
2024/9/28,AL ,2024/12/5,15,23480,,,465.9,377.3,1.4
2024/10/5,AL ,2024/12/5,18,23498,,,466.2,377.6,1.7
2024/10/12,AL ,2024/12/5,10,23508,,,466.4,377.8,1
2024/10/19,AL ,2024/12/5,13,23521,,,466.7,378,1.3
2024/10/26,AL ,2024/12/5,,23530,,,466.9,378.2,
2024/11/2,AL ,2024/12/5,,23537,,,467,378.3,
2024/11/9,AL ,2024/12/5,,23543,,,467.1,378.4,
2024/11/16,AL ,2024/12/5,,23549,,,467.3,378.5,
2024/11/23,AL ,2024/12/5,,23553,,,467.3,378.5,
2024/11/30,AL ,2024/12/5,,23556,,,467.4,378.6,
2020/1/4,AK ,2024/12/5,0,0,0,0,0,0,0
2020/1/11,AK ,2024/12/5,0,0,0,0,0,0,0
2020/1/18,AK ,2024/12/5,0,0,0,0,0,0,0
2020/1/25,AK ,2024/12/5,0,0,0,0,0,0,0
2020/2/1,AK ,2024/12/5,0,0,0,0,0,0,0
2020/2/8,AK ,2024/12/5,0,0,0,0,0,0,0
2020/2/15,AK ,2024/12/5,0,0,0,0,0,0,0
2020/2/22,AK ,2024/12/5,0,0,0,0,0,0,0
2020/2/29,AK ,2024/12/5,0,0,0,0,0,0,0
2020/3/7,AK ,2024/12/5,0,0,0,0,0,0,0
2020/3/14,AK ,2024/12/5,0,0,0,0,0,0,0
2020/3/21,AK ,2024/12/5,,,,,,,
2020/3/28,AK ,2024/12/5,,,,,,,
2020/4/4,AK ,2024/12/5,,,,,,,
2020/4/11,AK ,2024/12/5,,,,,,,
2020/4/18,AK ,2024/12/5,,,,,,,
2020/4/25,AK ,2024/12/5,0,,0,0,,,0
2020/5/2,AK ,2024/12/5,0,,0,0,,,0
2020/5/9,AK ,2024/12/5,,11,,,,,
2020/5/16,AK ,2024/12/5,0,11,0,0,,,0
2020/5/23,AK ,2024/12/5,0,11,0,0,,,0
2020/5/30,AK ,2024/12/5,0,11,0,0,,,0
2020/6/6,AK ,2024/12/5,0,11,0,0,,,0
2020/6/13,AK ,2024/12/5,,14,,,,,
2020/6/20,AK ,2024/12/5,0,14,0,0,,,0
2020/6/27,AK ,2024/12/5,0,14,0,0,,,0
2020/7/4,AK ,2024/12/5,,15,,,,,
2020/7/11,AK ,2024/12/5,,16,,,,,
2020/7/18,AK ,2024/12/5,,19,,,,,
2020/7/25,AK ,2024/12/5,,22,,,3,3.4,
2020/8/1,AK ,2024/12/5,,27,,,3.7,4,
2020/8/8,AK ,2024/12/5,,32,,,4.4,4.9,
2020/8/15,AK ,2024/12/5,,38,,,5.2,5.8,
2020/8/22,AK ,2024/12/5,,44,,,6,6.6,
2020/8/29,AK ,2024/12/5,,47,,,6.4,7.1,
2020/9/5,AK ,2024/12/5,,51,,,7,7.7,
2020/9/12,AK ,2024/12/5,,53,,,7.2,8.1,
2020/9/19,AK ,2024/12/5,,55,,,7.5,8.3,
2020/9/26,AK ,2024/12/5,,60,,,8.2,9,
2020/10/3,AK ,2024/12/5,,61,,,8.3,9.1,
2020/10/10,AK ,2024/12/5,,69,,,9.4,10.2,
2020/10/17,AK ,2024/12/5,10,79,,,10.8,11.8,9.5
2020/10/24,AK ,2024/12/5,,85,,,11.6,13,
2020/10/31,AK ,2024/12/5,10,95,,,13,14.9,9
2020/11/7,AK ,2024/12/5,,102,,,13.9,15.7,
2020/11/14,AK ,2024/12/5,15,117,,,16,18.2,12.5
2020/11/21,AK ,2024/12/5,15,132,,,18,20.9,12.6
2020/11/28,AK ,2024/12/5,22,154,3,3.7,21,24.6,17.9
2020/12/5,AK ,2024/12/5,31,185,4.2,4.8,25.3,29.5,25.8
2020/12/12,AK ,2024/12/5,26,211,3.5,4.5,28.8,34,19
2020/12/19,AK ,2024/12/5,20,231,2.7,3,31.5,37,19.2
2020/12/26,AK ,2024/12/5,25,256,3.4,3.4,34.9,40.4,20.8
2021/1/2,AK ,2024/12/5,,265,,,36.2,41.9,
2021/1/9,AK ,2024/12/5,13,278,,,37.9,44.2,11.2
2021/1/16,AK ,2024/12/5,,287,,,39.2,46.1,
2021/1/23,AK ,2024/12/5,,292,,,39.9,46.9,
2021/1/30,AK ,2024/12/5,,300,,,40.9,48,
2021/2/6,AK ,2024/12/5,,303,,,41.4,48.4,
2021/2/13,AK ,2024/12/5,,309,,,42.2,49.4,
2021/2/20,AK ,2024/12/5,,314,,,42.9,50,
2021/2/27,AK ,2024/12/5,11,325,,,44.4,51.7,10.7
2021/3/6,AK ,2024/12/5,,329,,,44.9,52.4,
2021/3/13,AK ,2024/12/5,,331,,,45.2,52.7,
2021/3/20,AK ,2024/12/5,,336,,,45.9,53.4,
2021/3/27,AK ,2024/12/5,,339,,,46.3,53.8,
2021/4/3,AK ,2024/12/5,,342,,,46.7,54.2,
2021/4/10,AK ,2024/12/5,,346,,,47.2,54.9,
2021/4/17,AK ,2024/12/5,,353,,,48.2,55.9,
2021/4/24,AK ,2024/12/5,,356,,,48.6,56.5,
2021/5/1,AK ,2024/12/5,,361,,,49.3,57.3,
2021/5/8,AK ,2024/12/5,12,373,,,50.9,58.9,13.2
2021/5/15,AK ,2024/12/5,10,383,,,52.3,60.3,9.8
2021/5/22,AK ,2024/12/5,,385,,,52.5,60.7,
2021/5/29,AK ,2024/12/5,,390,,,53.2,61.2,
2021/6/5,AK ,2024/12/5,,392,,,53.5,61.4,
2021/6/12,AK ,2024/12/5,,394,,,53.8,61.7,
2021/6/19,AK ,2024/12/5,,395,,,53.9,61.8,
2021/6/26,AK ,2024/12/5,,396,,,54,61.9,
2021/7/3,AK ,2024/12/5,,399,,,54.5,62.4,
2021/7/10,AK ,2024/12/5,,400,,,54.6,62.6,
2021/7/17,AK ,2024/12/5,0,400,0,0,54.6,62.6,0
2021/7/24,AK ,2024/12/5,,405,,,55.3,63.5,
2021/7/31,AK ,2024/12/5,14,419,,,57.2,65.4,12.5
2021/8/7,AK ,2024/12/5,25,444,3.4,3.6,60.6,69,18.2
2021/8/14,AK ,2024/12/5,21,465,2.9,3.4,63.5,72.4,17.9
2021/8/21,AK ,2024/12/5,24,489,3.3,3.6,66.7,76,15.2
2021/8/28,AK ,2024/12/5,20,509,2.7,2.8,69.5,78.8,15.3
2021/9/4,AK ,2024/12/5,38,547,5.2,5.9,74.7,84.7,29.5
2021/9/11,AK ,2024/12/5,28,575,3.8,4,78.5,88.7,22
2021/9/18,AK ,2024/12/5,38,613,5.2,5.3,83.7,94,27.1
2021/9/25,AK ,2024/12/5,55,668,7.5,8.2,91.2,102.2,35.9
2021/10/2,AK ,2024/12/5,58,726,7.9,8.1,99.1,110.3,32.8
2021/10/9,AK ,2024/12/5,46,772,6.3,6.2,105.4,116.4,30.3
2021/10/16,AK ,2024/12/5,44,816,6,6,111.4,122.4,27
2021/10/23,AK ,2024/12/5,50,866,6.8,7.5,118.2,129.9,28.2
2021/10/30,AK ,2024/12/5,61,927,8.3,8.9,126.5,138.9,34.3
2021/11/6,AK ,2024/12/5,36,963,4.9,5.2,131.4,144.1,23.4
2021/11/13,AK ,2024/12/5,25,988,3.4,3.1,134.8,147.1,20.7
2021/11/20,AK ,2024/12/5,26,1014,3.5,3.6,138.4,150.8,19.3
2021/11/27,AK ,2024/12/5,30,1044,4.1,3.9,142.5,154.6,18.6
2021/12/4,AK ,2024/12/5,19,1063,,,145.1,157.4,13.1
2021/12/11,AK ,2024/12/5,17,1080,,,147.4,159.5,13
2021/12/18,AK ,2024/12/5,,1089,,,148.6,160.7,
2021/12/25,AK ,2024/12/5,12,1101,,,150.3,162.4,10
2022/1/1,AK ,2024/12/5,,1110,,,151.5,163.8,
2022/1/8,AK ,2024/12/5,18,1128,,,154,166.2,14.5
2022/1/15,AK ,2024/12/5,15,1143,,,156,168.3,11.2
2022/1/22,AK ,2024/12/5,20,1163,2.7,3,158.7,171.3,16.1
2022/1/29,AK ,2024/12/5,21,1184,2.9,3.6,161.6,174.9,16.4
2022/2/5,AK ,2024/12/5,17,1201,,,163.9,177.3,15.7
