state,period,average_deaths
MA,2022-06-01 to 2023-03-01,55.8974358974359
MA,2023-03-01 to 2024-12-01,26.56338028169014
MA,Before 2020-07-01,332.2173913043478
MD,2020-07-01 to 2021-02-01,148.09677419354838
MD,2021-02-01 to 2021-09-01,87.66666666666667
MD,2021-09-01 to 2022-06-01,127.82051282051282
MD,2022-06-01 to 2023-03-01,50.51282051282051
MD,2023-03-01 to 2024-12-01,24.733333333333334
MD,Before 2020-07-01,140
ME,2020-07-01 to 2021-02-01,44.666666666666664
ME,2021-02-01 to 2021-09-01,15.833333333333334
ME,2021-09-01 to 2022-06-01,40.972972972972975
ME,2022-06-01 to 2023-03-01,15.133333333333333
ME,2023-03-01 to 2024-12-01,13.65
ME,Before 2020-07-01,4.388888888888889
MI,2020-07-01 to 2021-02-01,275.19354838709677
MI,2021-02-01 to 2021-09-01,178.46666666666667
MI,2021-09-01 to 2022-06-01,344.71794871794873
MI,2022-06-01 to 2023-03-01,95.17948717948718
MI,2023-03-01 to 2024-12-01,39.08536585365854
MI,Before 2020-07-01,250.2173913043478
MN,2020-07-01 to 2021-02-01,170.29032258064515
MN,2021-02-01 to 2021-09-01,46.766666666666666
MN,2021-09-01 to 2022-06-01,130.30769230769232
MN,2022-06-01 to 2023-03-01,45.8974358974359
MN,2023-03-01 to 2024-12-01,24.945205479452056
MN,Before 2020-07-01,58.64
MO,2020-07-01 to 2021-02-01,271.5483870967742
MO,2021-02-01 to 2021-09-01,119.83333333333333
MO,2021-09-01 to 2022-06-01,178.87179487179486
MO,2022-06-01 to 2023-03-01,51.43589743589744
MO,2023-03-01 to 2024-12-01,26.369230769230768
MO,Before 2020-07-01,41.12
MS,2020-07-01 to 2021-02-01,169.67741935483872
MS,2021-02-01 to 2021-09-01,88.73333333333333
MS,2021-09-01 to 2022-06-01,112.35135135135135
MS,2022-06-01 to 2023-03-01,33.1025641025641
MS,2023-03-01 to 2024-12-01,18.391304347826086
MS,Before 2020-07-01,46.869565217391305
MT,2020-07-01 to 2021-02-01,51.333333333333336
MT,2021-02-01 to 2021-09-01,18.11111111111111
MT,2021-09-01 to 2022-06-01,53.3
MT,2022-06-01 to 2023-03-01,12.444444444444445
MT,2023-03-01 to 2024-12-01,3.75
MT,Before 2020-07-01,0
NC,2020-07-01 to 2021-02-01,350.258064516129
NC,2021-02-01 to 2021-09-01,178.4
NC,2021-09-01 to 2022-06-01,298.20512820512823
NC,2022-06-01 to 2023-03-01,96.94871794871794
NC,2023-03-01 to 2024-12-01,39.63333333333333
NC,Before 2020-07-01,65.36363636363636
ND,2020-07-01 to 2021-02-01,56.21739130434783
ND,2021-02-01 to 2021-09-01,7.666666666666667
ND,2021-09-01 to 2022-06-01,27.185185185185187
ND,2022-06-01 to 2023-03-01,10.25
ND,2023-03-01 to 2024-12-01,0
ND,Before 2020-07-01,2.6875
NE,2020-07-01 to 2021-02-01,76.16666666666667
NE,2021-02-01 to 2021-09-01,22.714285714285715
NE,2021-09-01 to 2022-06-01,55.9375
NE,2022-06-01 to 2023-03-01,16.8125
NE,2023-03-01 to 2024-12-01,13.76923076923077
NE,Before 2020-07-01,12.875
NH,2020-07-01 to 2021-02-01,46.666666666666664
NH,2021-02-01 to 2021-09-01,15.235294117647058
NH,2021-09-01 to 2022-06-01,38.58620689655172
NH,2022-06-01 to 2023-03-01,15.185185185185185
NH,2023-03-01 to 2024-12-01,8.333333333333334
NH,Before 2020-07-01,16.64
NJ,2020-07-01 to 2021-02-01,214.8709677419355
NJ,2021-02-01 to 2021-09-01,156.56666666666666
NJ,2021-09-01 to 2022-06-01,179.46153846153845
NJ,2022-06-01 to 2023-03-01,70
NJ,2023-03-01 to 2024-12-01,28.575
NJ,Before 2020-07-01,548.36
NM,2020-07-01 to 2021-02-01,102.51612903225806
NM,2021-02-01 to 2021-09-01,33.3448275862069
NM,2021-09-01 to 2022-06-01,96.56756756756756
NM,2022-06-01 to 2023-03-01,22.289473684210527
NM,2023-03-01 to 2024-12-01,13.606060606060606
NM,Before 2020-07-01,20.72
NV,2020-07-01 to 2021-02-01,132.3548387096774
NV,2021-02-01 to 2021-09-01,72.13333333333334
NV,2021-09-01 to 2022-06-01,107.05263157894737
NV,2022-06-01 to 2023-03-01,23.685714285714287
NV,2023-03-01 to 2024-12-01,13.647058823529411
NV,Before 2020-07-01,19.6
NY,2020-07-01 to 2021-02-01,423.64516129032256
NY,2021-02-01 to 2021-09-01,383.43333333333334
NY,2021-09-01 to 2022-06-01,417.15384615384613
NY,2022-06-01 to 2023-03-01,178.4102564102564
NY,2023-03-01 to 2024-12-01,63.18681318681319
NY,Before 2020-07-01,1518.6190476190477
OH,2020-07-01 to 2021-02-01,528.6451612903226
OH,2021-02-01 to 2021-09-01,165.7
OH,2021-09-01 to 2022-06-01,508.20512820512823
OH,2022-06-01 to 2023-03-01,119.1025641025641
OH,2023-03-01 to 2024-12-01,45.29213483146067
OH,Before 2020-07-01,117.04166666666667
OK,2020-07-01 to 2021-02-01,231.32258064516128
OK,2021-02-01 to 2021-09-01,97.26666666666667
OK,2021-09-01 to 2022-06-01,174.33333333333334
OK,2022-06-01 to 2023-03-01,46.56410256410256
OK,2023-03-01 to 2024-12-01,22.671641791044777
OK,Before 2020-07-01,18.347826086956523
OR,2020-07-01 to 2021-02-01,60.12903225806452
OR,2021-02-01 to 2021-09-01,45.733333333333334
OR,2021-09-01 to 2022-06-01,103.87179487179488
OR,2022-06-01 to 2023-03-01,35.94871794871795
OR,2023-03-01 to 2024-12-01,17.950819672131146
OR,Before 2020-07-01,9.954545454545455
PA,2020-07-01 to 2021-02-01,514.0967741935484
PA,2021-02-01 to 2021-09-01,206.2
PA,2021-09-01 to 2022-06-01,444.12820512820514
PA,2022-06-01 to 2023-03-01,130.7948717948718
PA,2023-03-01 to 2024-12-01,50.1978021978022
PA,Before 2020-07-01,280.56
RI,2020-07-01 to 2021-02-01,53.458333333333336
RI,2021-02-01 to 2021-09-01,22.25
RI,2021-09-01 to 2022-06-01,31.72
RI,2022-06-01 to 2023-03-01,11.5
RI,2023-03-01 to 2024-12-01,1.4
RI,Before 2020-07-01,37.24
SC,2020-07-01 to 2021-02-01,227.90322580645162
SC,2021-02-01 to 2021-09-01,115.83333333333333
SC,2021-09-01 to 2022-06-01,191.3846153846154
SC,2022-06-01 to 2023-03-01,51.666666666666664
SC,2023-03-01 to 2024-12-01,23.23611111111111
SC,Before 2020-07-01,33.08
SD,2020-07-01 to 2021-02-01,66.08
SD,2021-02-01 to 2021-09-01,11.692307692307692
SD,2021-09-01 to 2022-06-01,27.933333333333334
SD,2022-06-01 to 2023-03-01,11
SD,2023-03-01 to 2024-12-01,0.7692307692307693
SD,Before 2020-07-01,3.533333333333333
TN,2020-07-01 to 2021-02-01,307.35483870967744
TN,2021-02-01 to 2021-09-01,136.7
TN,2021-09-01 to 2022-06-01,278.3076923076923
TN,2022-06-01 to 2023-03-01,74.74358974358974
TN,2023-03-01 to 2024-12-01,31.32051282051282
TN,Before 2020-07-01,23.666666666666668
TX,2020-07-01 to 2021-02-01,1293.1935483870968
TX,2021-02-01 to 2021-09-01,651.8666666666667
TX,2021-09-01 to 2022-06-01,799.8717948717949
TX,2022-06-01 to 2023-03-01,174.05128205128204
TX,2023-03-01 to 2024-12-01,63.24444444444445
TX,Before 2020-07-01,130.16666666666666
UT,2020-07-01 to 2021-02-01,60.2
UT,2021-02-01 to 2021-09-01,27.444444444444443
UT,2021-09-01 to 2022-06-01,71.13793103448276
UT,2022-06-01 to 2023-03-01,15.586206896551724
UT,2023-03-01 to 2024-12-01,10
UT,Before 2020-07-01,7.173913043478261
VA,2020-07-01 to 2021-02-01,212.41935483870967
VA,2021-02-01 to 2021-09-01,118.73333333333333
VA,2021-09-01 to 2022-06-01,208.71794871794873
VA,2022-06-01 to 2023-03-01,70.38461538461539
VA,2023-03-01 to 2024-12-01,31.44871794871795
VA,Before 2020-07-01,84.5
VT,2020-07-01 to 2021-02-01,4.105263157894737
VT,2021-02-01 to 2021-09-01,1.6666666666666667
VT,2021-09-01 to 2022-06-01,14.285714285714286
VT,2022-06-01 to 2023-03-01,12.333333333333334
VT,2023-03-01 to 2024-12-01,2.4615384615384617
VT,Before 2020-07-01,2.5
WA,2020-07-01 to 2021-02-01,103.93548387096774
WA,2021-02-01 to 2021-09-01,69.03333333333333
WA,2021-09-01 to 2022-06-01,149.10256410256412
WA,2022-06-01 to 2023-03-01,53
WA,2023-03-01 to 2024-12-01,24.790123456790123
WA,Before 2020-07-01,50.76
WI,2020-07-01 to 2021-02-01,210.19354838709677
WI,2021-02-01 to 2021-09-01,46.5
WI,2021-09-01 to 2022-06-01,160.6153846153846
WI,2022-06-01 to 2023-03-01,44.61538461538461
WI,2023-03-01 to 2024-12-01,23.161290322580644
WI,Before 2020-07-01,33.333333333333336
WV,2020-07-01 to 2021-02-01,83.03703703703704
WV,2021-02-01 to 2021-09-01,34.892857142857146
WV,2021-09-01 to 2022-06-01,102.61538461538461
WV,2022-06-01 to 2023-03-01,27.58974358974359
WV,2023-03-01 to 2024-12-01,14.904761904761905
WV,Before 2020-07-01,3.4705882352941178
WY,2020-07-01 to 2021-02-01,34.470588235294116
WY,2021-02-01 to 2021-09-01,17.77777777777778
WY,2021-09-01 to 2022-06-01,33.285714285714285
WY,2022-06-01 to 2023-03-01,11
WY,2023-03-01 to 2024-12-01,0
WY,Before 2020-07-01,0
